Player,q_lower,iqr_lower,median,iqr_upper,q_upper
44bfb6c5,-0.325690425,-0.079447425,0.03135185,0.14980275,0.421404399999999
45963054,-0.547654175,-0.2480455,-0.1067445,0.0061854175,0.228591475
4596da74,-0.272136175,-0.0511673,0.05019275,0.1643245,0.412315075
48a5a5d6,-0.2022828,-0.00649001,0.09288875,0.207697,0.44400345
491a433d,-0.260284075,-0.0362871,0.07165045,0.19583225,0.47294
4a1a9578,-0.409662425,-0.16865,-0.06139745,0.035774925,0.2401456
4bcf39f6,-0.5514943,-0.26510525,-0.133619,-0.02397395,0.169972024999999
4c370d81,-0.15446295,0.04166435,0.1608965,0.301009,0.60823855
4c3a6744,-0.341436525,-0.0858111,0.02165565,0.13751675,0.401051499999999
4d224fe8,-0.436752075,-0.1665245,-0.0505915,0.056484975,0.281857625
4d77b365,-0.4836488,-0.2541315,-0.145436,-0.04614495,0.118815125
4dcec659,-0.309147075,-0.0670298,0.0427725,0.165667,0.438957625
4e204552,-0.32930335,-0.07976585,0.02899315,0.1496095,0.418903199999999
4e9a0555,-0.253490075,-0.043072475,0.05930895,0.1736345,0.4229024
507c7bdf,-0.377818775,-0.14515075,-0.040302,0.056692275,0.25718355
50e6dc35,-0.222321175,-0.01738805,0.0872292,0.20596575,0.45637925
56f7a928,-0.3276133,-0.0720004,0.03807405,0.15875975,0.437815699999999
57827369,-0.3695876,-0.110524,-0.00180773,0.11018125,0.372094024999999
59e6e5bf,-0.6901255,-0.38534875,-0.2450695,-0.115627,0.064163215
5a04fd92,-0.464081275,-0.1941865,-0.0730402,0.029285125,0.24372365
5c0da4a4,-0.311501625,-0.07366015,0.0327841,0.148974,0.405342925
5ff4ab71,-0.5623437,-0.2567395,-0.1188135,-0.004758715,0.2096204
6434f10d,-0.326499475,-0.077182725,0.0262944,0.13930175,0.38888815
6613c819,-0.412998775,-0.15738975,-0.04362335,0.055492475,0.280786175
6639e500,-0.553286225,-0.268214,-0.1376775,-0.0267991,0.169006675
66b76d44,-0.428085075,-0.16061075,-0.03956675,0.06774155,0.30871965
67ac5bb8,-0.446404275,-0.1763495,-0.05895495,0.043691775,0.266153125
